initial_alias,converted_alias,name
ALX1,ENSDARG00000062824,alx1
ALX1,ENSDARG00000110530,alx1
ALX1,ENSDARG00000115230,alx1
ALX3,ENSDARG00000091086,alx3
ALX4,ENSDARG00000088332,alx4a
ALX4,ENSDARG00000074442,alx4b
AR,ENSDARG00000067976,ar
AR,ENSDARG00000114287,ar
ARID3A,ENSDARG00000067729,arid3c
ARID3A,ENSDARG00000070843,arid3a
ARID3A,ENSDARG00000114447,arid3c
ARID3B,ENSDARG00000104034,arid3b
ARID5A,ENSDARG00000077120,arid5a
ARNT,ENSDARG00000021855,arnt
ARNT,ENSDARG00000115999,arnt
ARNTL,ENSDARG00000035732,arntl1b
ARNTL,ENSDARG00000114562,arntl1b
ARX,ENSDARG00000058011,arxa
ARX,ENSDARG00000101523,arxb
ASCL2,ENSDARG00000038386,ascl1a
ASCL2,ENSDARG00000009702,ascl1b
ASCL2,ENSDARG00000101628,ascl1b
ATF1,ENSDARG00000044301,atf1
ATF1,ENSDARG00000109865,atf1
ATF3,ENSDARG00000007823,atf3
ATF4,ENSDARG00000111939,atf4a
ATF4,ENSDARG00000038141,atf4b
ATF4,ENSDARG00000114163,atf4b
ATF4,ENSDARG00000114542,atf4b
ATF7,ENSDARG00000011298,atf7a
ATF7,ENSDARG00000055481,atf7b
ATF7,ENSDARG00000114492,atf7b
ATF7,ENSDARG00000115171,atf7b
ATOH1,ENSDARG00000055294,atoh1a
BARHL1,ENSDARG00000035508,barhl1a
BARHL1,ENSDARG00000110061,barhl1a
BARHL1,ENSDARG00000112355,barhl1a
BARHL2,ENSDARG00000104361,barhl2
BARHL2,ENSDARG00000114681,barhl2
BARHL2,ENSDARG00000115723,barhl2
BARX1,ENSDARG00000007407,barx1
BATF3,ENSDARG00000042577,batf3
BCL6,ENSDARG00000070864,bcl6aa
BCL6,ENSDARG00000111395,bcl6aa
BCL6,ENSDARG00000112502,bcl6aa
BCL6,ENSDARG00000116260,bcl6aa
BHLHA15,ENSDARG00000045166,bhlha15
BHLHE22,ENSDARG00000058039,bhlhe22
BHLHE40,ENSDARG00000004060,bhlhe40
BHLHE41,ENSDARG00000041691,bhlhe41
BHLHE41,ENSDARG00000112123,bhlhe41
BHLHE41,ENSDARG00000114358,bhlhe41
BSX,ENSDARG00000068976,bsx
BSX,ENSDARG00000110782,bsx
BSX,ENSDARG00000068976,bsx
BSX,ENSDARG00000110782,bsx
BSX,ENSDARG00000068976,bsx
BSX,ENSDARG00000110782,bsx
ALX4,ENSDARG00000111246,BX324132.3
RXRG,ENSDARG00000110856,CABZ01020455.1
